flight_id,flight_no,departure_airport,arrival_airport,model,range,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,status,departure_city,arrival_city,departure_longitude,departure_latitude,arrival_longitude,arrival_latitude,duration,sum_amount,tickets_total,qty_seats
136119,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,2017-01-03T10:08:00Z,2017-01-03T11:49:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1653000.00,113,113
136120,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2017-02-24T10:07:00Z,2017-02-24T11:46:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1605400.00,109,109
136122,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-08T10:05:00Z,2017-01-08T11:45:00Z,2017-01-08T10:08:00Z,2017-01-08T11:48:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1431000.00,97,97
136130,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-02-13T10:05:00Z,2017-02-13T11:45:00Z,2017-02-13T10:07:00Z,2017-02-13T11:46:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1556600.00,107,107
136131,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-28T10:05:00Z,2017-01-28T11:45:00Z,2017-01-28T10:07:00Z,2017-01-28T11:46:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1812800.00,124,124
136132,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-02-15T10:05:00Z,2017-02-15T11:45:00Z,2017-02-15T10:09:00Z,2017-02-15T11:48:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1714000.00,116,116
136135,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-02-01T10:05:00Z,2017-02-01T11:45:00Z,2017-02-01T10:08:00Z,2017-02-01T11:48:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1678600.00,115,115
136146,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-02-09T10:05:00Z,2017-02-09T11:45:00Z,2017-02-09T10:08:00Z,2017-02-09T11:48:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1604200.00,109,109
136159,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-04T10:05:00Z,2017-01-04T11:45:00Z,2017-01-04T10:07:00Z,2017-01-04T11:45:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1700600.00,115,115
136164,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-07T10:05:00Z,2017-01-07T11:45:00Z,2017-01-07T10:07:00Z,2017-01-07T11:46:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1738400.00,120,120
136165,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-02-22T10:05:00Z,2017-02-22T11:45:00Z,2017-02-22T10:11:00Z,2017-02-22T11:52:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1567600.00,110,110
136172,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-15T10:05:00Z,2017-01-15T11:45:00Z,2017-01-15T10:05:00Z,2017-01-15T11:44:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1617600.00,110,110
136178,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-29T10:05:00Z,2017-01-29T11:45:00Z,2017-01-29T10:10:00Z,2017-01-29T11:49:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1434600.00,99,99
136181,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-31T10:05:00Z,2017-01-31T11:45:00Z,2017-01-31T10:05:00Z,2017-01-31T11:44:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1689600.00,118,118
136185,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-14T10:05:00Z,2017-01-14T11:45:00Z,2017-01-14T10:06:00Z,2017-01-14T11:49:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1520000.00,104,104
136202,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-01-05T10:05:00Z,2017-01-05T11:45:00Z,2017-01-05T10:07:00Z,2017-01-05T11:49:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1495600.00,100,100
136204,PG0252,AAQ,SVO,Boeing 737-300,4200,2017-02-23T10:05:00Z,2017-02-23T11:45:00Z,2017-02-23T10:06:00Z,2017-02-23T11:46:00Z,Arrived,Anapa,Moscow,37.347301483154,45.002101898193,37.4146,55.972599,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,1457800.00,107,107
